 Алтайский государственный мемориальный музей Г. С. Титова ,"{{{https://xn--r1a.website/s/muzeytitova}}}

https://t.me/muzeytitova
http://muzeytitova.ru/",53.215778,84.636479,,
 Астраханский Кремль ,"{{{https://xn--r1a.website/s/astra_kreml}}}

https://t.me/astra_kreml
https://astmuseum.ru/",46.349472,48.030047,,
 Государственный мемориальный историко-литературный и природно-ландшафтный музей-заповедник А. С. Пушкина “Михайловское” ,"{{{https://xn--r1a.website/s/pushkin_mus}}}

https://t.me/pushkin_mus",57.061107,28.919352,,
 Государственный музей истории космонавтики имени К. Э. Циолковского ,"{{{https://xn--r1a.website/s/museumgmik}}}

https://t.me/museumgmik",54.516967,36.230544,,
 Государственный художественный музей Алтайского края,"{{{https://xn--r1a.website/s/ghmakbarnaul}}}

https://t.me/ghmakbarnaul",53.332331,83.799336,,
 Звенигородский историко-архитектурный и художественный музей,"{{{https://xn--r1a.website/s/museumzven}}}

https://t.me/museumzven",55.728209,36.816601,,
 Камышинский историко-краеведческий музей,"{{{https://xn--r1a.website/s/myzeykam}}}

https://t.me/myzeykam",50.077916,45.411665,,
 Краеведческий Музей города Ликино-Дулево ,"{{{https://xn--r1a.website/s/muzej_LD}}}

https://t.me/muzej_LD",55.723423,38.957087,,
 Музей имени С.Д. Эрьзи ,"{{{https://xn--r1a.website/s/erziamuseum}}}

https://t.me/erziamuseum",54.185205,45.179461,,
 Салаватский историко-краеведческий музей ,"{{{https://xn--r1a.website/s/nasledie_salavat}}}

https://t.me/nasledie_salavat",53.366706,55.925914,,
"""Полторы комнаты"" музей Иосифа Бродского","{{{https://xn--r1a.website/s/brodsky_online_museum}}}

http://t.me/brodsky_online_museum",59.942599,30.350226,,
22 GALLERY,"{{{https://xn--r1a.website/s/gallery22art}}}

https://t.me/gallery22art",55.771792,37.575273,,
"Автомузей ""Автомобили Мира""","{{{https://xn--r1a.website/s/automuseum_ru}}}

https://t.me/automuseum_ru",55.754898,37.675306,,
Агинский национальный музей им.Г.Цыбикова,"{{{https://xn--r1a.website/s/agamuzey}}}

https://t.me/agamuzey",51.105198,114.542396,,
Аксайский военно-исторический музей,"{{{https://xn--r1a.website/s/museumaksay}}}

https://t.me/museumaksay",47.271287,39.89175,,
Алатырский краеведческий музей,"{{{https://xn--r1a.website/s/alatyr_muzei}}}

https://t.me/alatyr_muzei",54.84957,46.590276,,
Алтайский государственный краеведческий музей,"{{{https://xn--r1a.website/s/agkm1823}}}

https://t.me/agkm1823",53.329499,83.78749,,
Альметьевский краеведческий музей,"{{{https://xn--r1a.website/s/Almetkraeved}}}

https://t.me/Almetkraeved",54.901553,52.280565,,
Андроповский районный краеведческий музей,"{{{https://xn--r1a.website/s/andropmuzei}}}

https://t.me/andropmuzei",44.459791,42.503365,,
АНТ-Музей Стружка,"{{{https://xn--r1a.website/s/antstruzhka}}}

https://t.me/antstruzhka",59.774634,30.798111,,
Армавирский краеведческий музей,"{{{https://xn--r1a.website/s/arkmuseum/}}}

https://t.me/arkmuseum",44.994319,41.137367,,
Армянский музей Москвы и культуры нации,"{{{https://xn--r1a.website/s/armmuseum}}}

http://t.me/armmuseum",55.780287,37.630252,,
АРТМУЗА музей современного искусства,"{{{https://xn--r1a.website/s/artmuza}}}

https://t.me/artmuza",59.94639,30.261642,,
Археологический комплекс Гнёздово,"{{{https://xn--r1a.website/s/gnezdovo_project}}}

https://t.me/gnezdovo_project",54.770833,31.863801,,
